"110年07月27日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","1905  ","華紙            ","1,847,000","1,678,000","169,000","0","0","0","1,847,000","1,678,000","169,000",
" ","2316  ","楠梓電          ","237,000","70,000","167,000","0","0","0","237,000","70,000","167,000",
" ","2024  ","志聯            ","264,000","99,000","165,000","0","0","0","264,000","99,000","165,000",
" ",="00712 ","FH富時不動產    ","244,000","80,000","164,000","0","0","0","244,000","80,000","164,000",
" ","2465  ","麗臺            ","889,000","725,000","164,000","0","0","0","889,000","725,000","164,000",
" ","4927  ","泰鼎-KY         ","427,000","266,000","161,000","0","0","0","427,000","266,000","161,000",
" ","1712  ","興農            ","196,000","36,000","160,000","0","0","0","196,000","36,000","160,000",
"*","8464  ","億豐            ","561,996","402,632","159,364","0","0","0","561,996","402,632","159,364",
" ","9802  ","鈺齊-KY         ","447,314","289,000","158,314","0","0","0","447,314","289,000","158,314",
" ","1325  ","恆大            ","216,000","62,000","154,000","0","0","0","216,000","62,000","154,000",
" ","9910  ","豐泰            ","522,072","372,000","150,072","0","0","0","522,072","372,000","150,072",
" ","6405  ","悅城            ","305,000","157,000","148,000","0","0","0","305,000","157,000","148,000",
" ","4930  ","燦星網          ","244,000","97,000","147,000","0","0","0","244,000","97,000","147,000",
" ",="00636 ","國泰中國A50     ","299,000","155,000","144,000","0","0","0","299,000","155,000","144,000",
" ","1210  ","大成            ","360,000","220,000","140,000","0","0","0","360,000","220,000","140,000",
" ","2312  ","金寶            ","1,296,000","1,156,000","140,000","0","0","0","1,296,000","1,156,000","140,000",
" ","6177  ","達麗            ","207,000","69,000","138,000","0","0","0","207,000","69,000","138,000",
" ","2511  ","太子            ","209,474","72,000","137,474","0","0","0","209,474","72,000","137,474",
" ","2032  ","新鋼            ","1,538,000","1,403,000","135,000","0","0","0","1,538,000","1,403,000","135,000",
" ","1477  ","聚陽            ","1,494,055","1,359,669","134,386","0","0","0","1,494,055","1,359,669","134,386",
" ",="00676R","富邦臺灣加權反1 ","200,000","67,000","133,000","0","0","0","200,000","67,000","133,000",
" ","1220  ","台榮            ","185,000","52,000","133,000","0","0","0","185,000","52,000","133,000",
" ",="00701 ","國泰股利精選30  ","144,000","15,000","129,000","0","0","0","144,000","15,000","129,000",
" ","2211  ","長榮鋼          ","227,200","100,000","127,200","0","0","0","227,200","100,000","127,200",
" ","1789  ","神隆            ","188,000","63,000","125,000","0","0","0","188,000","63,000","125,000",
" ","9917  ","中保科          ","281,000","156,005","124,995","0","0","0","281,000","156,005","124,995",
" ","1809  ","中釉            ","383,000","259,000","124,000","0","0","0","383,000","259,000","124,000",
" ","5534  ","長虹            ","156,598","33,000","123,598","0","0","0","156,598","33,000","123,598",
" ","2420  ","新巨            ","172,000","52,000","120,000","0","0","0","172,000","52,000","120,000",
" ","3504  ","揚明光          ","322,000","208,000","114,000","0","0","0","322,000","208,000","114,000",
" ","5522  ","遠雄            ","224,000","110,000","114,000","0","0","0","224,000","110,000","114,000",
" ","1319  ","東陽            ","401,000","294,000","107,000","0","0","0","401,000","294,000","107,000",
" ","2102  ","泰豐            ","410,000","304,000","106,000","0","0","0","410,000","304,000","106,000",
" ","2505  ","國揚            ","255,000","149,000","106,000","0","0","0","255,000","149,000","106,000",
" ","2492  ","華新科          ","1,214,406","1,110,376","104,030","0","0","0","1,214,406","1,110,376","104,030",
" ",="00830 ","國泰費城半導體  ","309,000","205,000","104,000","0","0","0","309,000","205,000","104,000",
" ","2033  ","佳大            ","513,000","410,000","103,000","0","0","0","513,000","410,000","103,000",
" ","1514  ","亞力            ","197,050","97,000","100,050","0","0","0","197,050","97,000","100,050",
" ",="085415","華晶科元大09購01","100,000","0","100,000","0","0","0","100,000","0","100,000",
" ",="088325","華通元大09購02  ","100,000","0","100,000","0","0","0","100,000","0","100,000",
" ","2890  ","永豐金          ","9,277,988","9,180,663","97,325","0","0","0","9,277,988","9,180,663","97,325",
" ",="00638R","元大滬深300反1  ","140,000","46,000","94,000","0","0","0","140,000","46,000","94,000",
" ","6283  ","淳安            ","1,267,000","1,174,000","93,000","0","0","0","1,267,000","1,174,000","93,000",
" ","1537  ","廣隆            ","123,000","33,000","90,000","0","0","0","123,000","33,000","90,000",
" ","2613  ","中櫃            ","862,000","772,000","90,000","0","0","0","862,000","772,000","90,000",
" ","2105  ","正新            ","984,239","895,000","89,239","0","0","0","984,239","895,000","89,239",
" ","3550  ","聯穎            ","372,000","283,000","89,000","0","0","0","372,000","283,000","89,000",
" ",="00675L","富邦臺灣加權正2 ","90,000","3,000","87,000","0","0","0","90,000","3,000","87,000",
" ","4989  ","榮科            ","1,550,000","1,464,000","86,000","0","0","0","1,550,000","1,464,000","86,000",
" ","2374  ","佳能            ","159,000","75,000","84,000","0","0","0","159,000","75,000","84,000",
" ","1736  ","喬山            ","139,900","56,000","83,900","0","0","0","139,900","56,000","83,900",
" ","3661  ","世芯-KY         ","614,050","534,391","79,659","0","0","0","614,050","534,391","79,659",
" ","6698  ","旭暉應材        ","114,000","37,000","77,000","0","0","0","114,000","37,000","77,000",
" ",="00783 ","富邦中証500     ","95,000","19,000","76,000","0","0","0","95,000","19,000","76,000",
" ","6414  ","樺漢            ","191,000","116,000","75,000","0","0","0","191,000","116,000","75,000",
" ","5546  ","永固-KY         ","73,000","0","73,000","0","0","0","73,000","0","73,000",
" ","6285  ","啟碁            ","856,000","783,020","72,980","0","0","0","856,000","783,020","72,980",
" ","1737  ","臺鹽            ","72,000","0","72,000","0","0","0","72,000","0","72,000",
" ","8104  ","錸寶            ","195,000","123,000","72,000","0","0","0","195,000","123,000","72,000",
" ","2362  ","藍天            ","126,000","55,000","71,000","0","0","0","126,000","55,000","71,000",
" ","8926  ","台汽電          ","123,000","53,000","70,000","0","0","0","123,000","53,000","70,000",
