"110年07月20日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ",="00647L","元大S&P500正2   ","41,000","0","41,000","0","0","0","41,000","0","41,000",
" ",="035722","群創元大0B購19  ","40,000","0","40,000","0","0","0","40,000","0","40,000",
" ","6558  ","興能高          ","192,000","152,000","40,000","0","0","0","192,000","152,000","40,000",
" ","6672  ","騰輝電子-KY     ","1,224,040","1,185,120","38,920","0","0","0","1,224,040","1,185,120","38,920",
" ","3533  ","嘉澤            ","93,000","54,149","38,851","0","0","0","93,000","54,149","38,851",
" ","1590  ","亞德客-KY       ","243,071","205,010","38,061","0","0","0","243,071","205,010","38,061",
" ","6541  ","泰福-KY         ","90,000","54,000","36,000","0","0","0","90,000","54,000","36,000",
" ",="00708L","期元大S&P黃金正2","50,000","15,000","35,000","0","0","0","50,000","15,000","35,000",
" ","6112  ","聚碩            ","58,041","25,000","33,041","0","0","0","58,041","25,000","33,041",
" ","2423  ","固緯            ","35,000","2,000","33,000","0","0","0","35,000","2,000","33,000",
" ","4164  ","承業醫          ","47,000","14,000","33,000","0","0","0","47,000","14,000","33,000",
" ","4540  ","全球傳動        ","108,000","75,000","33,000","0","0","0","108,000","75,000","33,000",
" ",="00865B","國泰US短期公債  ","32,000","0","32,000","0","0","0","32,000","0","32,000",
" ","2059  ","川湖            ","33,000","1,000","32,000","0","0","0","33,000","1,000","32,000",
" ","3149  ","正達            ","278,000","246,000","32,000","0","0","0","278,000","246,000","32,000",
" ","5288  ","豐祥-KY         ","37,000","5,000","32,000","0","0","0","37,000","5,000","32,000",
" ",="00680L","元大美債20正2   ","30,000","0","30,000","0","0","0","30,000","0","30,000",
" ",="089453","台積電統一13購02","30,000","0","30,000","0","0","0","30,000","0","30,000",
" ",="00892 ","富邦台灣半導體  ","305,300","277,000","28,300","0","0","0","305,300","277,000","28,300",
" ","1215  ","卜蜂            ","116,000","88,000","28,000","0","0","0","116,000","88,000","28,000",
" ","2462  ","良得電          ","67,000","39,000","28,000","0","0","0","67,000","39,000","28,000",
" ","3209  ","全科            ","343,000","315,000","28,000","0","0","0","343,000","315,000","28,000",
" ","6196  ","帆宣            ","72,000","44,000","28,000","0","0","0","72,000","44,000","28,000",
" ",="01004T","土銀富邦R2      ","27,358","0","27,358","0","0","0","27,358","0","27,358",
" ","9942  ","茂順            ","126,000","99,000","27,000","0","0","0","126,000","99,000","27,000",
" ","2520  ","冠德            ","788,485","762,000","26,485","0","0","0","788,485","762,000","26,485",
" ",="00648R","元大S&P500反1   ","40,000","14,000","26,000","0","0","0","40,000","14,000","26,000",
" ","2514  ","龍邦            ","32,000","6,000","26,000","0","0","0","32,000","6,000","26,000",
" ","2850  ","新產            ","31,000","5,000","26,000","0","0","0","31,000","5,000","26,000",
" ","3044  ","健鼎            ","238,000","212,000","26,000","0","0","0","238,000","212,000","26,000",
" ","1560  ","中砂            ","106,000","81,000","25,000","0","0","0","106,000","81,000","25,000",
" ","9943  ","好樂迪          ","31,000","6,000","25,000","0","0","0","31,000","6,000","25,000",
" ","3164  ","景岳            ","26,000","2,000","24,000","0","0","0","26,000","2,000","24,000",
" ","6412  ","群電            ","41,000","17,000","24,000","0","0","0","41,000","17,000","24,000",
" ","9925  ","新保            ","61,000","37,000","24,000","0","0","0","61,000","37,000","24,000",
" ","4426  ","利勤            ","36,000","13,000","23,000","0","0","0","36,000","13,000","23,000",
" ","6414  ","樺漢            ","140,000","117,000","23,000","0","0","0","140,000","117,000","23,000",
" ",="00635U","期元大S&P黃金   ","26,000","4,000","22,000","0","0","0","26,000","4,000","22,000",
" ","2530  ","華建            ","79,000","57,000","22,000","0","0","0","79,000","57,000","22,000",
" ","2537  ","聯上發          ","47,000","25,000","22,000","0","0","0","47,000","25,000","22,000",
" ","6449  ","鈺邦            ","106,000","84,000","22,000","0","0","0","106,000","84,000","22,000",
" ","2465  ","麗臺            ","276,000","255,000","21,000","0","0","0","276,000","255,000","21,000",
" ","2534  ","宏盛            ","46,000","25,000","21,000","0","0","0","46,000","25,000","21,000",
" ","6024  ","群益期          ","25,000","4,000","21,000","0","0","0","25,000","4,000","21,000",
" ","8222  ","寶一            ","24,000","3,000","21,000","0","0","0","24,000","3,000","21,000",
" ","5269  ","祥碩            ","210,400","190,300","20,100","0","0","0","210,400","190,300","20,100",
" ",="032679","裕民中信0B購01  ","20,000","0","20,000","0","0","0","20,000","0","20,000",
" ",="034968","國產元大0C購02  ","20,000","0","20,000","0","0","0","20,000","0","20,000",
" ",="03748C","台積電富邦0C牛01","20,000","0","20,000","0","0","0","20,000","0","20,000",
" ",="03752C","大立光富邦14牛01","20,000","0","20,000","0","0","0","20,000","0","20,000",
" ","1731  ","美吾華          ","278,000","258,000","20,000","0","0","0","278,000","258,000","20,000",
" ","2430  ","燦坤            ","165,000","145,000","20,000","0","0","0","165,000","145,000","20,000",
" ","4551  ","智伸科          ","57,000","37,000","20,000","0","0","0","57,000","37,000","20,000",
